,Climate Change,Human carcinogenic toxicity,Fine particulate matter formation,Land use
Mix_Other,0.372,0.0248,0.000545,0.0107
Biomass_AT,0.09631115943193436,0.0066446783021092415,0.0003478257276583463,0.2958080768585205
Fossil_Gas_AT,0.5922793745994568,0.004260368645191193,0.00018673848535399884,0.0021885037422180176
Fossil_Hard_coal_AT,0.9788237810134888,0.03912118449807167,0.000527811876963824,0.00938659068197012
Fossil_Oil_AT,1.0306960344314575,0.0063611529767513275,0.00062604557024315,0.013083701021969318
Geothermal_AT,0.06729999929666519,0.013500000350177288,0.0001320000010309741,0.0014100000262260437
Hydro_Pumped_Storage_AT,0.46299999952316284,0.03480000048875809,0.00033000000985339284,0.016300000250339508
Hydro_Run-of-river_and_poundage_AT,0.004089999943971634,0.0018599999602884054,8.400000297115184e-06,0.00017600000137463212
Hydro_Water_Reservoir_AT,0.0061599998734891415,0.0018700000364333391,8.879999768396374e-06,9.390000195708126e-05
Other_fossil_AT,1.8899999856948853,0.09730000048875809,0.002940000034868717,0.01769999973475933
Other_renewable_AT,0.1340000033378601,0.01769999973475933,0.0003389999910723418,0.003930000122636557
Waste_AT,0.0,0.0,0.0,0.0
Wind_Onshore_AT,0.017343945801258087,0.013153559528291225,3.946971264667809e-05,0.001367667457088828
Solar_AT,0.09691715985536575,0.013589276000857353,0.0002482841955497861,0.002991420915350318
Biomass_CH,0.14089946448802948,0.0047287954948842525,0.0002522915892768651,0.08403617143630981
Fossil_Gas_CH,0.609000027179718,0.0049299998208880424,0.00015100000018719584,0.0020200000144541264
Hydro_Pumped_Storage_CH,0.07999999821186066,0.006909999996423721,7.650000043213367e-05,0.004939999897032976
Hydro_Run-of-river_and_poundage_CH,0.0035000001080334187,0.001820000004954636,7.480000022042077e-06,0.0001610000035725534
Hydro_Water_Reservoir_CH,0.0061599998734891415,0.0018700000364333391,8.879999768396374e-06,9.390000195708126e-05
Nuclear_CH,0.005617207381874323,0.0029176741372793913,1.5776740838191472e-05,0.00028001147438772023
Waste_CH,0.0,0.0,0.0,0.0
Wind_Onshore_CH,0.021900517866015434,0.015125737525522709,5.9484133089426905e-05,0.0015895068645477295
Solar_CH,0.0844450369477272,0.01217408012598753,0.00022023412748239934,0.0026469016447663307
Biomass_CZ,0.07123520970344543,0.006609119474887848,0.0003506704233586788,0.35089126229286194
Fossil_Brown_coal/Lignite_CZ,1.586775302886963,0.14568953216075897,0.0015287993010133505,0.0028339107520878315
Fossil_Coal-derived_gas_CZ,1.7428902387619019,0.02933330088853836,0.0014678980223834515,0.010919895954430103
Fossil_Gas_CZ,0.7778140902519226,0.005409313831478357,0.00022039904433768243,0.003201423678547144
Fossil_Hard_coal_CZ,1.6299999952316284,0.08160000294446945,0.00107999995816499,0.01600000075995922
Fossil_Oil_CZ,1.3934465646743774,0.010043247602880001,0.0020951698534190655,0.017443081364035606
Hydro_Pumped_Storage_CZ,1.2699999809265137,0.10499999672174454,0.0011599999852478504,0.013199999928474426
Hydro_Run-of-river_and_poundage_CZ,0.004089999943971634,0.0018599999602884054,8.400000297115184e-06,0.00017600000137463212
Hydro_Water_Reservoir_CZ,0.0502999983727932,0.0018700000364333391,8.879999768396374e-06,9.390000195708126e-05
Nuclear_CZ,0.006399999838322401,0.0029200001154094934,1.7300000763498247e-05,0.00028899998869746923
Other_fossil_CZ,1.8899999856948853,0.09730000048875809,0.002940000034868717,0.01769999973475933
Other_renewable_CZ,0.1340000033378601,0.01769999973475933,0.0003389999910723418,0.003930000122636557
Waste_CZ,0.0,0.0,0.0,0.0
Wind_Onshore_CZ,0.018935170024633408,0.014802542515099049,4.207012534607202e-05,0.0015302542597055435
Solar_CZ,0.10712344944477081,0.014989043585956097,0.0002751373394858092,0.0033056866377592087
Biomass_DE,0.19768139719963074,0.006788425147533417,0.000336325989337638,0.07313279807567596
Fossil_Brown_coal/Lignite_DE,1.2184375524520874,0.13381771743297577,0.0004393489798530936,0.0021066146437078714
Fossil_Coal-derived_gas_DE,1.1906956434249878,0.04393361881375313,0.0021198152098804712,0.016330255195498466
Fossil_Gas_DE,0.541358232498169,0.0036956886760890484,0.00014749838737770915,0.0024055002722889185
Fossil_Hard_coal_DE,1.061202883720398,0.04040610417723656,0.000652001821435988,0.00968942604959011
Fossil_Oil_DE,0.8027421832084656,0.005247265566140413,0.0007188281160779297,0.010116328485310078
Geothermal_DE,0.06729999929666519,0.013500000350177288,0.0001320000010309741,0.0014100000262260437
Hydro_Pumped_Storage_DE,0.8569999933242798,0.06809999793767929,0.00040499999886378646,0.012500000186264515
Hydro_Run-of-river_and_poundage_DE,0.004089999943971634,0.0018599999602884054,8.400000297115184e-06,0.00017600000137463212
Hydro_Water_Reservoir_DE,0.0502999983727932,0.0018700000364333391,8.879999768396374e-06,9.390000195708126e-05
Nuclear_DE,0.006358038634061813,0.002871969249099493,1.5334440831793472e-05,0.00028095138259232044
Other_fossil_DE,1.8899999856948853,0.09730000048875809,0.002940000034868717,0.01769999973475933
Other_renewable_DE,0.1340000033378601,0.01769999973475933,0.0003389999910723418,0.003930000122636557
Waste_DE,0.0,0.0,0.0,0.0
Wind_Offshore_DE,0.015799999237060547,0.011800000444054604,3.640000068116933e-05,0.0004560000088531524
Wind_Onshore_DE,0.01973261684179306,0.014898538589477539,4.730711953015998e-05,0.0015538136940449476
Solar_DE,0.09960045665502548,0.014837239868938923,0.00024646546808071434,0.01160833053290844
Biomass_FR,0.09021547436714172,0.006636034231632948,0.00034874139237217605,0.30919820070266724
Fossil_Coal-derived_gas_FR,2.009999990463257,0.0005210000090301037,0.00015500000154133886,0.00036800000816583633
Fossil_Gas_FR,0.6083130240440369,0.004003099165856838,0.00012206570681883022,0.002719641663134098
Fossil_Hard_coal_FR,1.064621090888977,0.04117605462670326,0.0020088397432118654,0.009912730194628239
Fossil_Oil_FR,0.9152365922927856,0.0071298121474683285,0.002310373354703188,0.011600995436310768
Geothermal_FR,0.06729999929666519,0.013500000350177288,0.0001320000010309741,0.0014100000262260437
Hydro_Pumped_Storage_FR,0.11500000208616257,0.008550000376999378,0.0001429999974789098,0.004220000002533197
Hydro_Run-of-river_and_poundage_FR,0.004089999943971634,0.0018599999602884054,8.400000297115184e-06,0.00017600000137463212
Hydro_Water_Reservoir_FR,0.0061599998734891415,0.0018700000364333391,8.889999662642367e-06,9.390000195708126e-05
Nuclear_FR,0.006099999882280827,0.0030499999411404133,2.6699999580159783e-05,0.00028899998869746923
Waste_FR,0.0,0.0,0.0,0.0
Wind_Offshore_FR,0.015799999237060547,0.011800000444054604,3.65999985660892e-05,0.0004560000088531524
Wind_Onshore_FR,0.015213831327855587,0.011745702475309372,3.412347723497078e-05,0.0012142780469730496
Solar_FR,0.08211548626422882,0.012234431691467762,0.00020377265173010528,0.009562504477798939
Biomass_IT,0.18344132602214813,0.006768232211470604,0.0003386943426448852,0.10441331565380096
Fossil_Coal-derived_gas_IT,1.059999942779541,0.07039999961853027,0.0033400000538676977,0.026100000366568565
Fossil_Gas_IT,0.5515249967575073,0.003915560431778431,0.00013946973194833845,0.0022887589875608683
Fossil_Hard_coal_IT,1.070438027381897,0.04148278012871742,0.001872408902272582,0.00991477444767952
Fossil_Oil_IT,0.8948768973350525,0.006553608924150467,0.0023790309205651283,0.010832896456122398
Geothermal_IT,0.06729999929666519,0.013500000350177288,0.0001320000010309741,0.0014100000262260437
Hydro_Pumped_Storage_IT,0.5720000267028809,0.01640000008046627,0.0006130000110715628,0.013299999758601189
Hydro_Run-of-river_and_poundage_IT,0.004089999943971634,0.0018599999602884054,8.400000297115184e-06,0.00017600000137463212
Hydro_Water_Reservoir_IT,0.0061599998734891415,0.0018700000364333391,8.889999662642367e-06,9.390000195708126e-05
Other_fossil_IT,1.8899999856948853,0.09730000048875809,0.002940000034868717,0.01769999973475933
Waste_IT,0.0,0.0,0.0,0.0
Wind_Offshore_IT,0.015799999237060547,0.011800000444054604,3.65999985660892e-05,0.0004560000088531524
Wind_Onshore_IT,0.01934237964451313,0.015054386109113693,4.7234800149453804e-05,0.0015631471760571003
Solar_IT,0.07302846759557724,0.011887594126164913,0.00017201142327394336,0.01786363124847412
